,Source,Likes,Text,Image,Retweets
283,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
284,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
285,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
286,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
287,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
288,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
289,Echofon,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
290,Twitter for iPhone,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
291,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
292,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
293,Twitter Web App,1,"Colonel17Q Carter777 @chyllo77
 2 minutes ago anon

Photo sent from my friend in the Freedom Convoy 2022 ❤🙏❤ https://t.co/CEu6wes15A",https://pbs.twimg.com/media/FKSJA_1XsAMa9OS.jpg,1
294,Twitter for Android,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
295,Twitter Web App,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
296,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
297,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
298,Echofon,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
299,Twitter for iPhone,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
300,Twitter for iPad,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
301,Twitter Web App,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
302,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
303,Twitter for Android,0,RT @nypost: Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,0
304,SocialFlow,300,Trucker 'Freedom Convoy' set to protest Canada vaccine mandates https://t.co/QOb3Dc2sQQ https://t.co/TX7QQJN3kZ,https://pbs.twimg.com/media/FKSIEGPWQAMLUes.jpg,300
305,Twitter Web App,1,"🔴LIVE: Canadian Truckers Freedom Convoy 2022 (Ottawa, Ontario, Canada) #FreedomConvoyCanada #TruckersForFreedom #Ottawa #ConvoyForFreedom2022 #FreedomRally 

https://t.co/AHJpOJkFbB https://t.co/QrXB6UdIcz",https://pbs.twimg.com/media/FKSIO94WUAEGd8R.jpg,1
306,Twitter Web App,0,"RT @Rosie951894641: Unity is beautiful!  Love this! 😍
FREEDOM CONVOY 2022! 🥰 https://t.co/XXFrgj6a3V",https://pbs.twimg.com/media/FJ6WIQUWYAcw0JN.jpg,0
307,Twitter for Android,0,RT @BruvverEccles: Eccles is saved: Freedom convoy approaches Rome https://t.co/Hq1B5I36u0 https://t.co/dyi0cJQhHT,https://pbs.twimg.com/media/FKREbbxWUAEXaon.jpg,0
308,Twitter for iPhone,0,"#endALLmandates
#medicalchoice
Headed to Victoria Goverment grounds in Solidarity with Freedom Convoy 2022 
Your body your choice! End the Mandates and let our country heal! 
Huge shout out to all the Truckers STILL delivering while these folks make a stand for the rest of us! https://t.co/0FNlySNeHO",https://pbs.twimg.com/media/FKSHF0UVUAMtPWo.jpg,0
